nCPUs,expN,url,timeGettingFile,timeComputing
1.0,0,http://content-server-service:9090/files/file1.dat,9.5367431640625e-07,0.031118154525756836
1.0,0,http://content-server-service:9090/files/file2.dat,1.1920928955078125e-06,0.029550790786743164
1.0,0,http://content-server-service:9090/files/file3.dat,1.1920928955078125e-06,0.03504300117492676
1.0,0,http://content-server-service:9090/files/file4.dat,1.1920928955078125e-06,0.02945733070373535
1.0,0,http://content-server-service:9090/files/file6.dat,9.5367431640625e-07,0.030551671981811523
1.0,0,http://content-server-service:9090/files/file7.dat,9.5367431640625e-07,0.029131412506103516
1.0,0,http://content-server-service:9090/files/file8.dat,9.5367431640625e-07,0.030831098556518555
1.0,0,http://content-server-service:9090/files/file9.dat,1.1920928955078125e-06,0.02885913848876953
1.0,0,http://content-server-service:9090/files/file10.dat,9.5367431640625e-07,0.031182050704956055
1.0,0,http://content-server-service:9090/files/file11.dat,1.6689300537109375e-06,0.03080296516418457
1.0,0,http://content-server-service:9090/files/file12.dat,1.1920928955078125e-06,0.03290438652038574
1.0,0,http://content-server-service:9090/files/file13.dat,9.5367431640625e-07,0.030988693237304688
1.0,0,http://content-server-service:9090/files/file14.dat,9.5367431640625e-07,0.030367374420166016
1.0,0,http://content-server-service:9090/files/file5.dat,2.384185791015625e-07,0.04511427879333496
1.0,0,http://content-server-service:9090/files/file16.dat,4.76837158203125e-07,0.02966165542602539
1.0,0,http://content-server-service:9090/files/file15.dat,1.430511474609375e-06,0.03818535804748535
1.0,0,http://content-server-service:9090/files/file17.dat,2.384185791015625e-07,0.02773118019104004
1.0,0,http://content-server-service:9090/files/file18.dat,1.430511474609375e-06,0.030716896057128906
1.0,0,http://content-server-service:9090/files/file19.dat,7.152557373046875e-07,0.050173044204711914
1.0,0,http://content-server-service:9090/files/file20.dat,1.430511474609375e-06,0.030399799346923828
1.0,0,http://content-server-service:9090/files/file21.dat,4.76837158203125e-07,0.030933856964111328
1.0,0,http://content-server-service:9090/files/file22.dat,1.6689300537109375e-06,0.03945207595825195
1.0,0,http://content-server-service:9090/files/file23.dat,2.384185791015625e-07,0.05657649040222168
1.0,0,http://content-server-service:9090/files/file25.dat,4.76837158203125e-07,0.030927181243896484
1.0,0,http://content-server-service:9090/files/file26.dat,1.1920928955078125e-06,0.02965259552001953
1.0,0,http://content-server-service:9090/files/file27.dat,4.76837158203125e-07,0.030445098876953125
1.0,0,http://content-server-service:9090/files/file28.dat,9.5367431640625e-07,0.034403085708618164
1.0,0,http://content-server-service:9090/files/file30.dat,1.1920928955078125e-06,0.030655860900878906
1.0,0,http://content-server-service:9090/files/file29.dat,7.152557373046875e-07,0.044648170471191406
1.0,0,http://content-server-service:9090/files/file31.dat,1.1920928955078125e-06,0.029567956924438477
1.0,0,http://content-server-service:9090/files/file32.dat,4.76837158203125e-07,0.03001856803894043
1.0,0,http://content-server-service:9090/files/file33.dat,9.5367431640625e-07,0.03043508529663086
1.0,0,http://content-server-service:9090/files/file34.dat,4.76837158203125e-07,0.026869773864746094
1.0,0,http://content-server-service:9090/files/file35.dat,1.430511474609375e-06,0.03181147575378418
1.0,0,http://content-server-service:9090/files/file36.dat,4.76837158203125e-07,0.04439115524291992
1.0,0,http://content-server-service:9090/files/file37.dat,9.5367431640625e-07,0.033632755279541016
1.0,0,http://content-server-service:9090/files/file38.dat,4.76837158203125e-07,0.029837608337402344
1.0,0,http://content-server-service:9090/files/file39.dat,1.430511474609375e-06,0.030458927154541016
1.0,0,http://content-server-service:9090/files/file40.dat,4.76837158203125e-07,0.027472972869873047
1.0,0,http://content-server-service:9090/files/file41.dat,1.1920928955078125e-06,0.028777599334716797
1.0,0,http://content-server-service:9090/files/file42.dat,4.76837158203125e-07,0.027773618698120117
1.0,0,http://content-server-service:9090/files/file43.dat,9.5367431640625e-07,0.034075260162353516
1.0,0,http://content-server-service:9090/files/file24.dat,9.5367431640625e-07,0.030736446380615234
1.0,0,http://content-server-service:9090/files/file44.dat,4.76837158203125e-07,0.030373096466064453
1.0,0,http://content-server-service:9090/files/file45.dat,1.1920928955078125e-06,0.028668880462646484
1.0,0,http://content-server-service:9090/files/file46.dat,9.5367431640625e-07,0.033843994140625
1.0,0,http://content-server-service:9090/files/file47.dat,4.76837158203125e-07,0.04883933067321777
1.0,0,http://content-server-service:9090/files/file48.dat,9.5367431640625e-07,0.029576539993286133
1.0,0,http://content-server-service:9090/files/file49.dat,1.1920928955078125e-06,0.029879331588745117
1.0,0,http://content-server-service:9090/files/file50.dat,4.76837158203125e-07,0.028702974319458008
1.0,0,http://content-server-service:9090/files/file2.dat,1.1920928955078125e-06,0.02987360954284668
1.0,0,http://content-server-service:9090/files/file1.dat,1.1920928955078125e-06,0.030066490173339844
1.0,0,http://content-server-service:9090/files/file3.dat,7.152557373046875e-07,0.02948904037475586
1.0,0,http://content-server-service:9090/files/file4.dat,1.1920928955078125e-06,0.031636953353881836
1.0,0,http://content-server-service:9090/files/file5.dat,1.1920928955078125e-06,0.029716014862060547
1.0,0,http://content-server-service:9090/files/file6.dat,7.152557373046875e-07,0.02832770347595215
1.0,0,http://content-server-service:9090/files/file7.dat,4.76837158203125e-07,0.0303952693939209
1.0,0,http://content-server-service:9090/files/file9.dat,1.1920928955078125e-06,0.029654741287231445
1.0,0,http://content-server-service:9090/files/file8.dat,1.1920928955078125e-06,0.03340435028076172
1.0,0,http://content-server-service:9090/files/file11.dat,1.1920928955078125e-06,0.03309464454650879
1.0,0,http://content-server-service:9090/files/file12.dat,1.1920928955078125e-06,0.03201031684875488
1.0,0,http://content-server-service:9090/files/file10.dat,4.76837158203125e-07,0.0509030818939209
1.0,0,http://content-server-service:9090/files/file13.dat,1.430511474609375e-06,0.02979278564453125
1.0,0,http://content-server-service:9090/files/file14.dat,1.1920928955078125e-06,0.03005361557006836
1.0,0,http://content-server-service:9090/files/file15.dat,4.76837158203125e-07,0.030393600463867188
1.0,0,http://content-server-service:9090/files/file16.dat,1.1920928955078125e-06,0.03647661209106445
1.0,0,http://content-server-service:9090/files/file17.dat,9.5367431640625e-07,0.03632211685180664
1.0,0,http://content-server-service:9090/files/file18.dat,4.76837158203125e-07,0.05075788497924805
1.0,0,http://content-server-service:9090/files/file19.dat,1.1920928955078125e-06,0.02991008758544922
1.0,0,http://content-server-service:9090/files/file20.dat,1.1920928955078125e-06,0.030895471572875977
1.0,0,http://content-server-service:9090/files/file21.dat,4.76837158203125e-07,0.02769637107849121
1.0,0,http://content-server-service:9090/files/file22.dat,1.430511474609375e-06,0.03061699867248535
1.0,0,http://content-server-service:9090/files/file23.dat,1.1920928955078125e-06,0.030535459518432617
1.0,0,http://content-server-service:9090/files/file24.dat,7.152557373046875e-07,0.03893256187438965
1.0,0,http://content-server-service:9090/files/file25.dat,1.1920928955078125e-06,0.02983880043029785
1.0,0,http://content-server-service:9090/files/file26.dat,1.1920928955078125e-06,0.031237363815307617
1.0,0,http://content-server-service:9090/files/file27.dat,2.384185791015625e-07,0.04592084884643555
1.0,0,http://content-server-service:9090/files/file28.dat,1.430511474609375e-06,0.030762672424316406
1.0,0,http://content-server-service:9090/files/file29.dat,9.5367431640625e-07,0.03382062911987305
1.0,0,http://content-server-service:9090/files/file30.dat,4.76837158203125e-07,0.031017065048217773
1.0,0,http://content-server-service:9090/files/file31.dat,1.430511474609375e-06,0.031714677810668945
1.0,0,http://content-server-service:9090/files/file32.dat,1.430511474609375e-06,0.03962421417236328
1.0,0,http://content-server-service:9090/files/file34.dat,1.1920928955078125e-06,0.02947211265563965
1.0,0,http://content-server-service:9090/files/file33.dat,2.384185791015625e-07,0.05426788330078125
1.0,0,http://content-server-service:9090/files/file36.dat,9.5367431640625e-07,0.029593229293823242
