nCPUs,expN,url,timeGettingFile,timeComputing
1.0,0,http://content-server-service:9090/files/file1.dat,0.040068626403808594,0.026639461517333984
1.0,0,http://content-server-service:9090/files/file2.dat,0.04006648063659668,0.02616095542907715
1.0,0,http://content-server-service:9090/files/file3.dat,0.040075063705444336,0.026560068130493164
1.0,0,http://content-server-service:9090/files/file4.dat,0.040064334869384766,0.025997638702392578
1.0,0,http://content-server-service:9090/files/file1.dat,0.04006481170654297,0.027281522750854492
1.0,0,http://content-server-service:9090/files/file2.dat,0.040071725845336914,0.026395320892333984
1.0,0,http://content-server-service:9090/files/file3.dat,0.04006791114807129,0.026713132858276367
1.0,0,http://content-server-service:9090/files/file4.dat,0.04007077217102051,0.026404142379760742
1.0,0,http://content-server-service:9090/files/file5.dat,0.04007434844970703,0.027149677276611328
1.0,0,http://content-server-service:9090/files/file5.dat,0.04006671905517578,0.027394771575927734
1.0,0,http://content-server-service:9090/files/file1.dat,0.040064334869384766,0.026126861572265625
1.0,0,http://content-server-service:9090/files/file2.dat,0.04006600379943848,0.026993274688720703
1.0,0,http://content-server-service:9090/files/file3.dat,0.0400700569152832,0.02620100975036621
1.0,0,http://content-server-service:9090/files/file4.dat,0.0400691032409668,0.027318239212036133
1.0,0,http://content-server-service:9090/files/file5.dat,0.04006552696228027,0.026246309280395508
1.0,0,http://content-server-service:9090/files/file1.dat,0.04007220268249512,0.027962446212768555
1.0,0,http://content-server-service:9090/files/file2.dat,0.0400700569152832,0.026899099349975586
1.0,0,http://content-server-service:9090/files/file3.dat,0.04007267951965332,0.026842117309570312
1.0,0,http://content-server-service:9090/files/file4.dat,0.040069580078125,0.0278627872467041
1.0,0,http://content-server-service:9090/files/file5.dat,0.04006457328796387,0.02619194984436035
1.0,0,http://content-server-service:9090/files/file1.dat,0.04006528854370117,0.02896714210510254
1.0,0,http://content-server-service:9090/files/file2.dat,0.04007077217102051,0.026566267013549805
1.0,0,http://content-server-service:9090/files/file3.dat,0.040069580078125,0.027524471282958984
1.0,0,http://content-server-service:9090/files/file4.dat,0.040068626403808594,0.026398658752441406
1.0,0,http://content-server-service:9090/files/file5.dat,0.040068864822387695,0.02775430679321289
1.0,0,http://content-server-service:9090/files/file1.dat,0.0400700569152832,0.02631211280822754
1.0,0,http://content-server-service:9090/files/file2.dat,0.040067195892333984,0.028787851333618164
1.0,0,http://content-server-service:9090/files/file3.dat,0.04006600379943848,0.026137351989746094
1.0,0,http://content-server-service:9090/files/file4.dat,0.04007673263549805,0.027063608169555664
1.0,0,http://content-server-service:9090/files/file5.dat,0.040065765380859375,0.026366233825683594
1.0,0,http://content-server-service:9090/files/file1.dat,0.0400698184967041,0.027524232864379883
1.0,0,http://content-server-service:9090/files/file2.dat,0.040062904357910156,0.026031494140625
1.0,0,http://content-server-service:9090/files/file3.dat,0.04006338119506836,0.027820825576782227
1.0,0,http://content-server-service:9090/files/file4.dat,0.04006552696228027,0.030228376388549805
1.0,0,http://content-server-service:9090/files/file5.dat,0.040067434310913086,0.026891469955444336
1.0,0,http://content-server-service:9090/files/file1.dat,0.04006671905517578,0.026595115661621094
1.0,0,http://content-server-service:9090/files/file2.dat,0.040065765380859375,0.026507139205932617
1.0,0,http://content-server-service:9090/files/file3.dat,0.040064334869384766,0.02625870704650879
1.0,0,http://content-server-service:9090/files/file4.dat,0.04004073143005371,0.026579618453979492
1.0,0,http://content-server-service:9090/files/file5.dat,0.04006671905517578,0.0316162109375
1.0,0,http://content-server-service:9090/files/file1.dat,0.04008340835571289,0.026477336883544922
1.0,0,http://content-server-service:9090/files/file2.dat,0.04006767272949219,0.026825428009033203
1.0,0,http://content-server-service:9090/files/file3.dat,0.04006528854370117,0.026131629943847656
1.0,0,http://content-server-service:9090/files/file4.dat,0.04006600379943848,0.026118993759155273
1.0,0,http://content-server-service:9090/files/file5.dat,0.04006552696228027,0.027452468872070312
1.0,0,http://content-server-service:9090/files/file1.dat,0.0400693416595459,0.02622699737548828
1.0,0,http://content-server-service:9090/files/file2.dat,0.04006528854370117,0.02626824378967285
1.0,0,http://content-server-service:9090/files/file3.dat,0.04007768630981445,0.026380538940429688
1.0,0,http://content-server-service:9090/files/file4.dat,0.040067434310913086,0.02617812156677246
1.0,0,http://content-server-service:9090/files/file5.dat,0.04006695747375488,0.0272524356842041
1.0,0,http://content-server-service:9090/files/file1.dat,0.04006671905517578,0.02627730369567871
1.0,0,http://content-server-service:9090/files/file2.dat,0.04006552696228027,0.026638269424438477
1.0,0,http://content-server-service:9090/files/file3.dat,0.04006457328796387,0.02661275863647461
1.0,0,http://content-server-service:9090/files/file4.dat,0.04008007049560547,0.02796173095703125
1.0,0,http://content-server-service:9090/files/file5.dat,0.04006457328796387,0.0263216495513916
1.0,0,http://content-server-service:9090/files/file1.dat,0.04006457328796387,0.027997970581054688
1.0,0,http://content-server-service:9090/files/file2.dat,0.040064334869384766,0.026680469512939453
1.0,0,http://content-server-service:9090/files/file3.dat,0.04006314277648926,0.02674698829650879
1.0,0,http://content-server-service:9090/files/file4.dat,0.0400700569152832,0.026538610458374023
1.0,0,http://content-server-service:9090/files/file5.dat,0.04006242752075195,0.027356624603271484
1.0,0,http://content-server-service:9090/files/file1.dat,0.040064334869384766,0.0270693302154541
1.0,0,http://content-server-service:9090/files/file2.dat,0.04006457328796387,0.027550458908081055
1.0,0,http://content-server-service:9090/files/file3.dat,0.04006505012512207,0.0263059139251709
1.0,0,http://content-server-service:9090/files/file4.dat,0.04006457328796387,0.027692794799804688
1.0,0,http://content-server-service:9090/files/file5.dat,0.04007387161254883,0.026024580001831055
1.0,0,http://content-server-service:9090/files/file1.dat,0.040064096450805664,0.027853727340698242
1.0,0,http://content-server-service:9090/files/file2.dat,0.04006552696228027,0.0264432430267334
1.0,0,http://content-server-service:9090/files/file3.dat,0.04006791114807129,0.026357173919677734
1.0,0,http://content-server-service:9090/files/file4.dat,0.040065765380859375,0.026857614517211914
1.0,0,http://content-server-service:9090/files/file5.dat,0.04005098342895508,0.026025056838989258
1.0,0,http://content-server-service:9090/files/file1.dat,0.04006648063659668,0.026433229446411133
1.0,0,http://content-server-service:9090/files/file2.dat,0.04006528854370117,0.02722787857055664
1.0,0,http://content-server-service:9090/files/file3.dat,0.04006552696228027,0.029320478439331055
1.0,0,http://content-server-service:9090/files/file4.dat,0.04006671905517578,0.026380538940429688
1.0,0,http://content-server-service:9090/files/file5.dat,0.04005908966064453,0.034576416015625
1.0,0,http://content-server-service:9090/files/file1.dat,0.04007101058959961,0.02631092071533203
1.0,0,http://content-server-service:9090/files/file2.dat,0.040065765380859375,0.03154277801513672
1.0,0,http://content-server-service:9090/files/file3.dat,0.04006671905517578,0.02646493911743164
1.0,0,http://content-server-service:9090/files/file4.dat,0.04006385803222656,0.026926279067993164
1.0,0,http://content-server-service:9090/files/file5.dat,0.04006457328796387,0.02650761604309082
1.0,0,http://content-server-service:9090/files/file1.dat,0.04006385803222656,0.027307987213134766
1.0,0,http://content-server-service:9090/files/file2.dat,0.040064096450805664,0.026318788528442383
1.0,0,http://content-server-service:9090/files/file3.dat,0.04006624221801758,0.02704906463623047
