nCPUs,expN,Execution Time
0.5,63,9.988588571548462
0.5,64,2.81960391998291
0.5,65,2.7494900226593018
0.5,66,2.5356571674346924
0.5,67,2.513685941696167
0.5,68,7.416647911071777
0.5,69,12.94547176361084
0.5,70,10.151505947113037
0.5,71,5.998641014099121
0.5,72,14.514537811279297
0.5,73,10.93418550491333
0.5,74,7.397066593170166
0.5,75,6.779881715774536
0.5,76,5.996826171875
0.5,77,17.470558166503906
0.5,78,10.449498414993286
0.5,79,2.785086154937744
0.5,80,2.7101402282714844
0.5,81,6.09393835067749
0.5,82,9.996330261230469
0.5,83,5.780256509780884
0.5,84,15.414359331130981
0.5,85,8.496869564056396
0.5,86,9.93196964263916
0.5,87,2.8822054862976074
0.5,88,2.829655647277832
0.5,89,6.882286548614502
0.5,90,13.870656967163086
0.5,91,10.302233457565308
0.5,92,2.946063280105591
0.5,93,2.863027811050415
0.5,94,2.6382944583892822
0.5,95,2.828341484069824
0.5,96,2.7266335487365723
0.5,97,2.8160903453826904
0.5,98,2.8329906463623047
0.5,99,2.7562427520751953
