cluster_config,cluster_config,cluster_config,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_times,function_times,function_times,function_times,function_times,config_point_result,config_point_result,config_point_result,config_point_result,config_point_result
num_workers,cpu_per_worker,memory_per_worker,extractImgMetadata,transformMetadata,thumbnail,returnMetadata,createThumbnail,extractImgMetadata,transformMetadata,thumbnail,returnMetadata,createThumbnail,loss_used,loss_value,execution_time,cost_to_run,attempt_n
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,0.2565743923187256,7.3909759521484375e-06,0.2629232406616211,7.152557373046875e-07,0.5654220581054688,latency_loss,0.605,0.605,1.0849277973175049,0
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,0.2552013397216797,1.0013580322265625e-05,0.2869093418121338,7.152557373046875e-07,0.5976877212524414,latency_loss,0.619,0.619,1.1398091316223145,1
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,0.2400519847869873,6.67572021484375e-06,0.26816654205322266,1.430511474609375e-06,0.5499451160430908,latency_loss,0.578,0.578,1.0581717491149902,2
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,0.22389888763427734,7.152557373046875e-06,0.2342226505279541,1.1920928955078125e-06,0.5144979953765869,latency_loss,0.536,0.536,0.9726278781890869,3
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,0.24200010299682617,7.867813110351562e-06,0.2815120220184326,7.152557373046875e-07,0.5636510848999023,latency_loss,0.588,0.588,1.0871717929840088,4
1,1,1Gi,0.7,1.0,1.0,1.0,1.0,0.24554228782653809,7.152557373046875e-06,0.2714996337890625,7.152557373046875e-07,0.5663876533508301,latency_loss,0.588,0.588,1.0097747564315795,0
1,1,1Gi,0.7,1.0,1.0,1.0,1.0,0.21551895141601562,7.62939453125e-06,0.23651647567749023,9.5367431640625e-07,0.5060389041900635,latency_loss,0.526,0.526,0.8934272289276123,1
1,1,1Gi,0.7,1.0,1.0,1.0,1.0,0.2635486125946045,6.4373016357421875e-06,0.28895139694213867,1.430511474609375e-06,0.6061482429504395,latency_loss,0.625,0.625,1.0795915365219115,2
1,1,1Gi,0.7,1.0,1.0,1.0,1.0,0.20932698249816895,7.3909759521484375e-06,0.23584389686584473,9.5367431640625e-07,0.4927072525024414,latency_loss,0.515,0.515,0.875088381767273,3
