cluster_config,cluster_config,cluster_config,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_times,function_times,function_times,function_times,config_point_result,config_point_result,config_point_result,config_point_result,config_point_result
num_workers,cpu_per_worker,memory_per_worker,extractImgMetadata,transformMetadata,thumbnail,returnMetadata,extractImgMetadata,transformMetadata,thumbnail,returnMetadata,loss_used,loss_value,execution_time,cost_to_run,attempt_n
1,1,1Gi,1.0,1.0,1.0,1.0,0.2172544002532959,6.67572021484375e-06,0.2839491367340088,3.814697265625e-06,latency_loss,0.625,0.625,0.5012140274047852,0
1,1,1Gi,1.0,1.0,1.0,1.0,0.25522708892822266,1.2874603271484375e-05,0.28607654571533203,7.152557373046875e-07,latency_loss,0.618,0.618,0.5413172245025635,1
1,1,1Gi,1.0,1.0,1.0,1.0,0.25609254837036133,1.1682510375976562e-05,0.26328158378601074,1.1920928955078125e-06,latency_loss,0.638,0.638,0.5193870067596436,2
1,1,1Gi,1.0,1.0,1.0,1.0,0.20767474174499512,7.62939453125e-06,0.32240843772888184,1.6689300537109375e-06,latency_loss,0.599,0.599,0.5300924777984619,3
1,1,1Gi,1.0,1.0,1.0,1.0,0.20986294746398926,1.2874603271484375e-05,0.2800171375274658,1.1920928955078125e-06,latency_loss,0.568,0.568,0.48989415168762207,4
1,1,1Gi,0.7,0.4,0.7,0.1,0.24711847305297852,1.4543533325195312e-05,0.2952389717102051,4.291534423828125e-06,latency_loss,0.636,0.636,0.37965645790100094,0
1,1,1Gi,0.7,0.4,0.7,0.1,0.30815815925598145,1.4066696166992188e-05,0.2687954902648926,2.86102294921875e-06,latency_loss,0.693,0.693,0.4038734674453735,1
1,1,1Gi,0.7,0.4,0.7,0.1,0.25549817085266113,1.8835067749023438e-05,0.276259183883667,2.6226043701171875e-06,latency_loss,0.609,0.609,0.37223794460296633,2
1,1,1Gi,0.7,0.4,0.7,0.1,0.21714258193969727,1.811981201171875e-05,0.2702755928039551,4.0531158447265625e-06,latency_loss,0.556,0.556,0.34120037555694577,3
1,1,1Gi,0.7,0.4,0.7,0.1,0.25469064712524414,1.5497207641601562e-05,0.24744057655334473,3.5762786865234375e-06,latency_loss,0.577,0.577,0.3514984130859375,4
1,1,1Gi,1.0,0.4,0.7,0.7,0.2522876262664795,1.430511474609375e-05,0.29611921310424805,2.86102294921875e-06,latency_loss,0.622,0.622,0.45957880020141595,0
1,1,1Gi,1.0,0.4,0.7,0.7,0.21788907051086426,0.00010704994201660156,0.251192569732666,2.384185791015625e-06,latency_loss,0.543,0.543,0.3937683582305908,1
1,1,1Gi,1.0,0.4,0.7,0.7,0.2666659355163574,2.09808349609375e-05,0.2683868408203125,2.384185791015625e-06,latency_loss,0.611,0.611,0.45454678535461424,2
1,1,1Gi,1.0,0.4,0.7,0.7,0.2137753963470459,1.8596649169921875e-05,0.27726078033447266,1.9073486328125e-06,latency_loss,0.57,0.57,0.4078667163848877,3
1,1,1Gi,1.0,0.4,0.7,0.7,0.23551225662231445,2.0503997802734375e-05,0.28606200218200684,2.86102294921875e-06,latency_loss,0.607,0.607,0.4357658624649048,4
1,1,1Gi,0.7,1.0,1.0,0.4,0.27569079399108887,8.58306884765625e-06,0.2829780578613281,4.5299530029296875e-06,latency_loss,0.639,0.639,0.47597200870513917,0
1,1,1Gi,0.7,1.0,1.0,0.4,0.20707297325134277,6.9141387939453125e-06,0.25841569900512695,2.6226043701171875e-06,latency_loss,0.539,0.539,0.40337474346160884,1
1,1,1Gi,0.7,1.0,1.0,0.4,0.25731873512268066,6.198883056640625e-06,0.2887609004974365,4.0531158447265625e-06,latency_loss,0.678,0.678,0.46889183521270755,2
1,1,1Gi,0.7,1.0,1.0,0.4,0.2555367946624756,5.245208740234375e-06,0.26238584518432617,2.1457672119140625e-06,latency_loss,0.642,0.642,0.44126770496368406,3
1,1,1Gi,0.7,1.0,1.0,0.4,0.23739910125732422,6.9141387939453125e-06,0.24781012535095215,2.6226043701171875e-06,latency_loss,0.59,0.59,0.413997459411621,4
1,1,1Gi,0.1,0.4,0.1,0.7,0.31293487548828125,1.5735626220703125e-05,0.4880046844482422,1.9073486328125e-06,latency_loss,0.884,0.884,0.08010158538818359,0
1,1,1Gi,0.1,0.4,0.1,0.7,0.3090517520904541,1.5735626220703125e-05,0.5672147274017334,3.0994415283203125e-06,latency_loss,1.01,1.01,0.08763511180877685,1
1,1,1Gi,0.1,0.4,0.1,0.7,0.28763532638549805,1.239776611328125e-05,0.5860273838043213,2.1457672119140625e-06,latency_loss,1.013,1.013,0.08737273216247558,2
1,1,1Gi,0.1,0.4,0.1,0.7,0.3140087127685547,1.52587890625e-05,0.5369553565979004,3.5762786865234375e-06,latency_loss,1.01,1.01,0.08510501384735109,3
1,1,1Gi,0.1,0.4,0.1,0.7,0.2940833568572998,9.775161743164062e-06,0.5874326229095459,1.9073486328125e-06,latency_loss,1.02,1.02,0.0881568431854248,4
1,1,1Gi,1.0,0.7,0.1,1.0,0.20386004447937012,5.1975250244140625e-05,0.5897846221923828,9.5367431640625e-07,latency_loss,0.876,0.876,0.2628758430480957,0
1,1,1Gi,1.0,0.7,0.1,1.0,0.25009989738464355,1.621246337890625e-05,0.5189762115478516,1.1920928955078125e-06,latency_loss,0.881,0.881,0.30201005935668945,1
1,1,1Gi,1.0,0.7,0.1,1.0,0.2557098865509033,1.33514404296875e-05,0.5728583335876465,9.5367431640625e-07,latency_loss,0.931,0.931,0.31300601959228513,2
