cluster_config,cluster_config,cluster_config,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_times,function_times,function_times,function_times,function_times,config_point_result,config_point_result,config_point_result,config_point_result,config_point_result
num_workers,cpu_per_worker,memory_per_worker,extractImgMetadata,transformMetadata,thumbnail,returnMetadata,createThumbnail,extractImgMetadata,transformMetadata,thumbnail,returnMetadata,createThumbnail,loss_used,loss_value,execution_time,cost_to_run,attempt_n
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,0.21193504333496094,7.152557373046875e-06,0.27878713607788086,1.1920928955078125e-06,0.5336952209472656,latency_loss,0.619,0.619,1.024425745010376,0
1,1,1Gi,0.1,1.0,1.0,1.0,1.0,0.34662580490112305,1.5020370483398438e-05,0.24007749557495117,1.6689300537109375e-06,0.6365106105804443,latency_loss,0.658,0.658,0.9112673759460449,0
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,0.21741294860839844,2.5510787963867188e-05,0.23398065567016602,9.5367431640625e-07,0.5041666030883789,latency_loss,0.528,0.528,0.9555637121200562,0
1,1,1Gi,1.0,1.0,0.1,1.0,1.0,0.20710039138793945,1.0728836059570312e-05,0.5176894664764404,9.5367431640625e-07,0.7812561988830566,latency_loss,0.852,0.852,1.0401372194290162,0
1,1,1Gi,1.0,1.0,1.0,0.1,1.0,0.23778438568115234,6.9141387939453125e-06,0.2288360595703125,2.384185791015625e-06,0.516301155090332,latency_loss,0.543,0.543,0.9829287528991699,0
1,1,1Gi,1.0,1.0,1.0,1.0,0.1,0.22475814819335938,1.6927719116210938e-05,0.3025507926940918,9.5367431640625e-07,0.5818655490875244,latency_loss,0.62,0.62,0.5855133771896363,0
