cluster_config,cluster_config,cluster_config,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_times,function_times,function_times,function_times,function_times,function_times,config_point_result,config_point_result,config_point_result,config_point_result,config_point_result
num_workers,cpu_per_worker,memory_per_worker,extractImgMetadata,transformMetadata,handler,thumbnail,returnMetadata,createThumbnail,extractImgMetadata,transformMetadata,handler,thumbnail,returnMetadata,createThumbnail,loss_used,loss_value,execution_time,cost_to_run,attempt_n
1,1,1Gi,0.1,1.0,1.0,1.0,1.0,1.0,0.34282517433166504,2.1457672119140625e-05,9.5367431640625e-07,0.33806443214416504,9.5367431640625e-07,0.7523155212402344,latency_loss,0.819,0.819,0.819,5
1,1,1Gi,0.1,1.0,1.0,1.0,1.0,1.0,0.3297159671783447,9.298324584960938e-06,7.152557373046875e-07,0.30150461196899414,1.430511474609375e-06,0.6995429992675781,latency_loss,0.726,0.726,0.726,6
1,1,1Gi,0.1,1.0,1.0,1.0,1.0,1.0,0.3568766117095947,1.2636184692382812e-05,9.5367431640625e-07,0.2519683837890625,2.86102294921875e-06,0.6804111003875732,latency_loss,0.712,0.712,0.712,7
1,1,1Gi,0.1,1.0,1.0,1.0,1.0,1.0,0.3497133255004883,6.67572021484375e-06,1.1920928955078125e-06,0.2749037742614746,7.152557373046875e-07,0.6892359256744385,latency_loss,0.717,0.717,0.717,8
1,1,1Gi,0.1,1.0,1.0,1.0,1.0,1.0,0.32666873931884766,1.049041748046875e-05,4.76837158203125e-07,0.23028087615966797,1.6689300537109375e-06,0.6215837001800537,latency_loss,0.652,0.652,0.652,9
1,1,1Gi,1.0,0.7,1.0,1.0,1.0,1.0,0.21254444122314453,1.4066696166992188e-05,7.152557373046875e-07,0.26237916946411133,7.152557373046875e-07,0.5368132591247559,latency_loss,0.571,0.571,0.571,0
1,1,1Gi,1.0,0.7,1.0,1.0,1.0,1.0,0.2625417709350586,1.5020370483398438e-05,9.5367431640625e-07,0.2730429172515869,2.1457672119140625e-06,0.5864801406860352,latency_loss,0.665,0.665,0.665,1
1,1,1Gi,1.0,0.7,1.0,1.0,1.0,1.0,0.21154475212097168,1.6450881958007812e-05,7.152557373046875e-07,0.2342689037322998,2.6226043701171875e-06,0.505842924118042,latency_loss,0.528,0.528,0.528,2
1,1,1Gi,1.0,0.7,1.0,1.0,1.0,1.0,0.25323033332824707,1.6927719116210938e-05,4.76837158203125e-07,0.2692403793334961,5.7220458984375e-06,0.5878293514251709,latency_loss,0.623,0.623,0.623,3
1,1,1Gi,1.0,0.7,1.0,1.0,1.0,1.0,0.24233388900756836,1.0967254638671875e-05,1.6689300537109375e-06,0.3145639896392822,2.384185791015625e-06,0.6178567409515381,latency_loss,0.708,0.708,0.708,4
1,1,1Gi,1.0,0.7,1.0,1.0,1.0,1.0,0.2349262237548828,9.059906005859375e-06,1.1920928955078125e-06,0.28020787239074707,9.5367431640625e-07,0.5740766525268555,latency_loss,0.617,0.617,0.617,5
1,1,1Gi,1.0,0.7,1.0,1.0,1.0,1.0,0.2553589344024658,8.821487426757812e-06,9.5367431640625e-07,0.30756378173828125,7.152557373046875e-07,0.6388261318206787,latency_loss,0.673,0.673,0.673,6
1,1,1Gi,1.0,0.7,1.0,1.0,1.0,1.0,0.271259069442749,1.2874603271484375e-05,9.5367431640625e-07,0.25757884979248047,7.152557373046875e-07,0.5915296077728271,latency_loss,0.642,0.642,0.642,7
1,1,1Gi,1.0,0.7,1.0,1.0,1.0,1.0,0.2271871566772461,1.4543533325195312e-05,7.152557373046875e-07,0.30069780349731445,9.5367431640625e-07,0.5899038314819336,latency_loss,0.622,0.622,0.622,8
1,1,1Gi,1.0,0.7,1.0,1.0,1.0,1.0,0.2543509006500244,9.059906005859375e-06,7.152557373046875e-07,0.29413771629333496,9.5367431640625e-07,0.6098356246948242,latency_loss,0.643,0.643,0.643,9
