cluster_config,cluster_config,cluster_config,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_times,function_times,function_times,function_times,function_times,config_point_result,config_point_result,config_point_result,config_point_result,config_point_result
num_workers,cpu_per_worker,memory_per_worker,extractImgMetadata,transformMetadata,thumbnail,returnMetadata,createThumbnail,extractImgMetadata,transformMetadata,thumbnail,returnMetadata,createThumbnail,loss_used,loss_value,execution_time,cost_to_run,attempt_n
1,1,1Gi,1.0,0.1,0.4,0.4,0.7,0.2438502311706543,1.8835067749023438e-05,0.32518744468688965,3.5762786865234375e-06,0.6225733757019043,latency_loss,0.689,0.689,0.8097298860549926,3
1,1,1Gi,1.0,0.1,0.4,0.4,0.7,0.21413278579711914,2.7179718017578125e-05,0.35384559631347656,2.6226043701171875e-06,0.6235353946685791,latency_loss,0.653,0.653,0.7921495676040649,4
1,1,1Gi,0.4,0.7,0.7,0.1,0.4,0.30055737495422363,1.4066696166992188e-05,0.313443660736084,1.9073486328125e-06,0.7015647888183594,latency_loss,0.777,0.777,0.6202694654464722,0
1,1,1Gi,0.4,0.7,0.7,0.1,0.4,0.2965526580810547,1.811981201171875e-05,0.2796320915222168,3.337860107421875e-06,0.6260824203491211,latency_loss,0.655,0.655,0.564809513092041,1
1,1,1Gi,0.4,0.7,0.7,0.1,0.4,0.28118181228637695,1.33514404296875e-05,0.3174476623535156,2.1457672119140625e-06,0.6815664768218994,latency_loss,0.767,0.767,0.6073222398757934,2
1,1,1Gi,0.4,0.7,0.7,0.1,0.4,0.3074033260345459,2.5272369384765625e-05,0.30965328216552734,4.0531158447265625e-06,0.7096176147460938,latency_loss,0.738,0.738,0.6235837697982788,3
1,1,1Gi,0.4,0.7,0.7,0.1,0.4,0.33423829078674316,1.7642974853515625e-05,0.3870508670806885,4.76837158203125e-06,0.8346631526947021,latency_loss,0.871,0.871,0.7385090112686157,4
1,1,1Gi,1.0,0.1,0.7,0.1,0.7,0.27693629264831543,1.4781951904296875e-05,0.3101224899291992,2.6226043701171875e-06,0.634619951248169,latency_loss,0.661,0.661,0.9382577419281005,0
1,1,1Gi,1.0,0.1,0.7,0.1,0.7,0.22704672813415527,2.288818359375e-05,0.31560730934143066,3.337860107421875e-06,0.5978529453277588,latency_loss,0.629,0.629,0.866471529006958,1
1,1,1Gi,1.0,0.1,0.7,0.1,0.7,0.2316303253173828,1.4543533325195312e-05,0.26566529273986816,3.337860107421875e-06,0.5454092025756836,latency_loss,0.617,0.617,0.7993842601776122,2
1,1,1Gi,1.0,0.1,0.7,0.1,0.7,0.21956658363342285,3.933906555175781e-05,0.32588791847229004,4.76837158203125e-06,0.5941400527954102,latency_loss,0.625,0.625,0.8635905742645263,3
1,1,1Gi,1.0,0.1,0.7,0.1,0.7,0.280597448348999,1.5735626220703125e-05,0.2600131034851074,3.5762786865234375e-06,0.5840568542480469,latency_loss,0.606,0.606,0.8714483499526977,4
1,1,1Gi,0.7,0.4,1.0,0.4,0.1,0.32886528968811035,1.6450881958007812e-05,0.3036074638366699,3.337860107421875e-06,0.7327480316162109,latency_loss,0.759,0.759,0.6070958852767944,0
1,1,1Gi,0.7,0.4,1.0,0.4,0.1,0.23061609268188477,1.4543533325195312e-05,0.2644500732421875,3.814697265625e-06,0.6034255027770996,latency_loss,0.676,0.676,0.4862312316894531,1
1,1,1Gi,0.7,0.4,1.0,0.4,0.1,0.2701070308685303,1.4543533325195312e-05,0.3060643672943115,2.384185791015625e-06,0.6623923778533936,latency_loss,0.687,0.687,0.5613852977752686,2
1,1,1Gi,0.7,0.4,1.0,0.4,0.1,0.2824540138244629,1.811981201171875e-05,0.3287808895111084,4.5299530029296875e-06,0.7087457180023193,latency_loss,0.75,0.75,0.5973823308944702,3
1,1,1Gi,0.7,0.4,1.0,0.4,0.1,0.32230424880981445,2.6226043701171875e-05,0.31224560737609863,2.86102294921875e-06,0.7278139591217041,latency_loss,0.823,0.823,0.6106516122817992,4
