cluster_config,cluster_config,cluster_config,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_times,function_times,function_times,function_times,function_times,config_point_result,config_point_result,config_point_result,config_point_result,config_point_result
num_workers,cpu_per_worker,memory_per_worker,extractImgMetadata,transformMetadata,thumbnail,returnMetadata,createThumbnail,extractImgMetadata,transformMetadata,thumbnail,returnMetadata,createThumbnail,loss_used,loss_value,execution_time,cost_to_run,attempt_n
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,0.22500300407409668,5.7220458984375e-06,0.24685239791870117,3.5762786865234375e-06,0.527642011642456,latency_loss,0.605,0.605,0.9995067119598389,0
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,0.2353954315185547,8.106231689453125e-06,0.24664568901062012,1.430511474609375e-06,0.5386316776275635,latency_loss,0.578,0.578,1.0206823348999023,1
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,0.23178791999816895,9.775161743164062e-06,0.29382896423339844,9.5367431640625e-07,0.5647189617156982,latency_loss,0.587,0.587,1.0903465747833252,2
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,0.2405548095703125,6.4373016357421875e-06,0.268388032913208,1.1920928955078125e-06,0.5587379932403564,latency_loss,0.613,0.613,1.0676884651184082,3
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,0.23014307022094727,9.5367431640625e-06,0.32028985023498535,3.814697265625e-06,0.6004676818847656,latency_loss,0.628,0.628,1.150913953781128,4
1,1,1Gi,0.1,0.1,0.1,0.1,0.1,0.3840920925140381,2.2172927856445312e-05,0.8097813129425049,3.337860107421875e-06,1.3640203475952148,latency_loss,1.39,1.39,0.2557919263839722,0
1,1,1Gi,0.1,0.1,0.1,0.1,0.1,0.5038375854492188,1.621246337890625e-05,0.8924679756164551,3.814697265625e-06,1.5129384994506836,latency_loss,1.585,1.585,0.2909264087677002,1
1,1,1Gi,0.1,0.1,0.1,0.1,0.1,0.5809342861175537,1.52587890625e-05,0.8121175765991211,6.198883056640625e-06,1.584604024887085,latency_loss,1.654,1.654,0.2977677345275879,2
1,1,1Gi,0.1,0.1,0.1,0.1,0.1,0.39679503440856934,1.7404556274414062e-05,0.7857348918914795,2.86102294921875e-06,1.2479069232940674,latency_loss,1.274,1.274,0.243045711517334,3
1,1,1Gi,0.1,0.1,0.1,0.1,0.1,0.5423648357391357,1.7642974853515625e-05,0.798736572265625,3.5762786865234375e-06,1.4506914615631104,latency_loss,1.477,1.477,0.27918140888214116,4
1,1,1Gi,0.1,0.9,0.6,0.3,1.0,0.3140220642089844,1.811981201171875e-05,0.30857110023498535,3.0994415283203125e-06,0.7029500007629395,latency_loss,0.734,0.734,0.9195121049880981,0
1,1,1Gi,0.1,0.9,0.6,0.3,1.0,0.3399944305419922,1.5974044799804688e-05,0.31965065002441406,6.198883056640625e-06,0.7117917537689209,latency_loss,0.74,0.74,0.9375978231430053,1
1,1,1Gi,0.1,0.9,0.6,0.3,1.0,0.3259601593017578,1.0251998901367188e-05,0.26564860343933105,3.337860107421875e-06,0.6488497257232666,latency_loss,0.677,0.677,0.8408451318740845,2
1,1,1Gi,0.1,0.9,0.6,0.3,1.0,0.35428810119628906,1.0013580322265625e-05,0.2899935245513916,3.337860107421875e-06,0.6955490112304688,latency_loss,0.723,0.723,0.9049839496612548,3
1,1,1Gi,0.1,0.9,0.6,0.3,1.0,0.33502936363220215,1.6927719116210938e-05,0.3192567825317383,3.0994415283203125e-06,0.70870041847229,latency_loss,0.746,0.746,0.9337735891342163,4
1,1,1Gi,1.0,0.5,1.0,1.0,0.7,0.22858405113220215,1.1444091796875e-05,0.27053356170654297,1.1920928955078125e-06,0.5481662750244141,latency_loss,0.588,0.588,0.882840919494629,0
1,1,1Gi,1.0,0.5,1.0,1.0,0.7,0.24298357963562012,2.002716064453125e-05,0.2928452491760254,1.6689300537109375e-06,0.577808141708374,latency_loss,0.649,0.649,0.9403062105178832,1
1,1,1Gi,1.0,0.5,1.0,1.0,0.7,0.22661972045898438,2.3126602172851562e-05,0.3049659729003906,1.1920928955078125e-06,0.5893137454986572,latency_loss,0.617,0.617,0.944118070602417,2
1,1,1Gi,1.0,0.5,1.0,1.0,0.7,0.2214832305908203,1.6450881958007812e-05,0.30516839027404785,9.5367431640625e-07,0.5744433403015137,latency_loss,0.596,0.596,0.9287711381912231,3
