cluster_config,cluster_config,cluster_config,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_times,function_times,function_times,function_times,function_times,function_times,config_point_result,config_point_result,config_point_result,config_point_result,config_point_result
num_workers,cpu_per_worker,memory_per_worker,extractImgMetadata,transformMetadata,handler,thumbnail,returnMetadata,createThumbnail,extractImgMetadata,transformMetadata,handler,thumbnail,returnMetadata,createThumbnail,loss_used,loss_value,execution_time,cost_to_run,attempt_n
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,1.0,0.22812342643737793,1.5020370483398438e-05,9.5367431640625e-07,0.2936666011810303,1.430511474609375e-06,0.5773651599884033,latency_loss,0.658,0.658,1.099172592163086,0
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,1.0,0.22115445137023926,5.7220458984375e-06,1.6689300537109375e-06,0.27672410011291504,2.384185791015625e-06,0.5501887798309326,latency_loss,0.587,0.587,1.04807710647583,1
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,1.0,0.21821379661560059,6.198883056640625e-06,4.76837158203125e-07,0.27237772941589355,1.1920928955078125e-06,0.5466344356536865,latency_loss,0.58,0.58,1.037233829498291,2
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,1.0,0.21307969093322754,7.62939453125e-06,4.76837158203125e-07,0.23687124252319336,7.152557373046875e-07,0.5058469772338867,latency_loss,0.565,0.565,0.9558067321777344,3
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,1.0,0.21647214889526367,6.9141387939453125e-06,4.76837158203125e-07,0.27851414680480957,1.1920928955078125e-06,0.5579237937927246,latency_loss,0.597,0.597,1.0529186725616455,4
1,1,1Gi,0.1,1.0,1.0,1.0,1.0,1.0,0.3306145668029785,1.049041748046875e-05,1.1920928955078125e-06,0.24093890190124512,2.384185791015625e-06,0.6288044452667236,latency_loss,0.72,0.72,0.9028188705444335,0
1,1,1Gi,0.1,1.0,1.0,1.0,1.0,1.0,0.2837555408477783,6.4373016357421875e-06,4.76837158203125e-07,0.26659250259399414,9.5367431640625e-07,0.6172270774841309,latency_loss,0.706,0.706,0.9122030019760132,1
1,1,1Gi,0.1,1.0,1.0,1.0,1.0,1.0,0.3166804313659668,5.7220458984375e-06,2.384185791015625e-07,0.23849821090698242,1.430511474609375e-06,0.6201121807098389,latency_loss,0.72,0.72,0.8902858257293701,2
1,1,1Gi,0.1,1.0,1.0,1.0,1.0,1.0,0.3418290615081787,6.67572021484375e-06,7.152557373046875e-07,0.26400256156921387,9.5367431640625e-07,0.6647460460662842,latency_loss,0.754,0.754,0.9629398584365845,3
1,1,1Gi,0.1,1.0,1.0,1.0,1.0,1.0,0.30370545387268066,6.67572021484375e-06,7.152557373046875e-07,0.23684453964233398,7.152557373046875e-07,0.6073014736175537,latency_loss,0.686,0.686,0.8745246648788452,4
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,1.0,0.23047733306884766,1.8835067749023438e-05,7.152557373046875e-07,0.26926207542419434,1.430511474609375e-06,0.5566163063049316,latency_loss,0.59,0.59,1.0563597440719605,0
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,1.0,0.2599184513092041,1.9311904907226562e-05,9.5367431640625e-07,0.27414608001708984,1.1920928955078125e-06,0.5997490882873535,latency_loss,0.656,0.656,1.13381769657135,1
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,1.0,0.20951533317565918,1.239776611328125e-05,4.76837158203125e-07,0.2811291217803955,1.430511474609375e-06,0.5444061756134033,latency_loss,0.577,0.577,1.0350537776947022,2
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,1.0,0.25551271438598633,1.239776611328125e-05,4.76837158203125e-07,0.26116442680358887,9.5367431640625e-07,0.5784561634063721,latency_loss,0.626,0.626,1.0951359748840332,3
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,1.0,0.2045609951019287,1.3828277587890625e-05,1.430511474609375e-06,0.282681941986084,9.5367431640625e-07,0.5474436283111572,latency_loss,0.63,0.63,1.0346903324127197,4
1,1,1Gi,1.0,1.0,0.1,1.0,1.0,1.0,0.24667835235595703,5.9604644775390625e-06,9.5367431640625e-07,0.25546836853027344,9.5367431640625e-07,0.5582029819488525,latency_loss,0.631,0.631,1.0603567123413087,0
1,1,1Gi,1.0,1.0,0.1,1.0,1.0,1.0,0.2066502571105957,1.1682510375976562e-05,1.1920928955078125e-06,0.25737977027893066,7.152557373046875e-07,0.5253965854644775,latency_loss,0.627,0.627,0.9894391298294067,1
1,1,1Gi,1.0,1.0,0.1,1.0,1.0,1.0,0.2593088150024414,1.3113021850585938e-05,1.1920928955078125e-06,0.26065659523010254,7.152557373046875e-07,0.578805685043335,latency_loss,0.618,0.618,1.0987850427627563,2
1,1,1Gi,1.0,1.0,0.1,1.0,1.0,1.0,0.20286345481872559,6.4373016357421875e-06,1.430511474609375e-06,0.27442073822021484,9.5367431640625e-07,0.5368938446044922,latency_loss,0.574,0.574,1.0141855716705321,3
