cluster_config,cluster_config,cluster_config,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_times,function_times,function_times,function_times,config_point_result,config_point_result,config_point_result,config_point_result,config_point_result
num_workers,cpu_per_worker,memory_per_worker,extractImgMetadata,transformMetadata,thumbnail,returnMetadata,extractImgMetadata,transformMetadata,thumbnail,returnMetadata,loss_used,loss_value,execution_time,cost_to_run,attempt_n
1,1,1Gi,1.0,1.0,0.1,1.0,0.24393200874328613,8.821487426757812e-06,0.5365631580352783,1.430511474609375e-06,latency_loss,0.87,0.87,0.2975985765457153,1
1,1,1Gi,1.0,1.0,0.1,1.0,0.23713374137878418,7.3909759521484375e-06,0.5663080215454102,1.1920928955078125e-06,latency_loss,0.881,0.881,0.29377312660217286,2
1,1,1Gi,1.0,1.0,0.1,1.0,0.23604679107666016,1.049041748046875e-05,0.5029473304748535,1.430511474609375e-06,latency_loss,0.809,0.809,0.28635344505310056,3
1,1,1Gi,1.0,1.0,0.1,1.0,0.23710060119628906,6.67572021484375e-06,0.5780651569366455,9.5367431640625e-07,latency_loss,0.891,0.891,0.2949147462844849,4
1,1,1Gi,1.0,1.0,0.1,0.7,0.24274849891662598,7.152557373046875e-06,0.5006768703460693,2.384185791015625e-06,latency_loss,0.838,0.838,0.2928250074386597,0
1,1,1Gi,1.0,1.0,0.1,0.7,0.23382210731506348,5.0067901611328125e-06,0.5359687805175781,4.291534423828125e-06,latency_loss,0.85,0.85,0.28742699623107915,1
1,1,1Gi,1.0,1.0,0.1,0.7,0.23613262176513672,5.0067901611328125e-06,0.5292634963989258,2.86102294921875e-06,latency_loss,0.844,0.844,0.28906598091125485,2
1,1,1Gi,1.0,1.0,0.1,0.7,0.24416399002075195,6.4373016357421875e-06,0.604285478591919,3.0994415283203125e-06,latency_loss,0.935,0.935,0.3046011447906494,3
1,1,1Gi,1.0,1.0,0.1,0.7,0.23437714576721191,5.4836273193359375e-06,0.6329982280731201,2.6226043701171875e-06,latency_loss,0.946,0.946,0.2976842880249023,4
1,1,1Gi,1.0,1.0,0.1,0.4,0.27364015579223633,5.245208740234375e-06,0.6091105937957764,1.9073486328125e-06,latency_loss,0.963,0.963,0.3345572233200073,0
1,1,1Gi,1.0,1.0,0.1,0.4,0.25060367584228516,5.245208740234375e-06,0.6672565937042236,2.6226043701171875e-06,latency_loss,1.053,1.053,0.31733562946319577,1
1,1,1Gi,1.0,1.0,0.1,0.4,0.23185443878173828,7.152557373046875e-06,0.6101109981536865,2.86102294921875e-06,latency_loss,0.922,0.922,0.2928738355636597,2
1,1,1Gi,1.0,1.0,0.1,0.4,0.24846315383911133,1.0251998901367188e-05,0.5360028743743896,2.86102294921875e-06,latency_loss,0.857,0.857,0.30207483768463134,3
1,1,1Gi,1.0,1.0,0.1,0.4,0.23788070678710938,1.1920928955078125e-05,0.5075316429138184,2.1457672119140625e-06,latency_loss,0.878,0.878,0.28864665031433107,4
1,1,1Gi,1.0,1.0,0.1,0.1,0.24470829963684082,1.2159347534179688e-05,0.6283438205718994,2.6226043701171875e-06,latency_loss,0.953,0.953,0.307555103302002,0
1,1,1Gi,1.0,1.0,0.1,0.1,0.24530315399169922,8.344650268554688e-06,0.46660375595092773,2.86102294921875e-06,latency_loss,0.802,0.802,0.29197216033935547,1
1,1,1Gi,1.0,1.0,0.1,0.1,0.23549342155456543,6.67572021484375e-06,0.5994219779968262,3.337860107421875e-06,latency_loss,0.912,0.912,0.2954426288604736,2
1,1,1Gi,1.0,1.0,0.1,0.1,0.24126434326171875,6.9141387939453125e-06,0.5008509159088135,2.1457672119140625e-06,latency_loss,0.821,0.821,0.29135656356811523,3
1,1,1Gi,1.0,1.0,0.1,0.1,0.24817562103271484,6.198883056640625e-06,0.5956809520721436,3.5762786865234375e-06,latency_loss,0.92,0.92,0.3077502727508545,4
1,1,1Gi,1.0,0.7,1.0,1.0,0.2569105625152588,1.4066696166992188e-05,0.2685375213623047,7.152557373046875e-07,latency_loss,0.655,0.655,0.5254586458206176,0
1,1,1Gi,1.0,0.7,1.0,1.0,0.24483895301818848,1.33514404296875e-05,0.2591090202331543,1.1920928955078125e-06,latency_loss,0.581,0.581,0.5039585113525391,1
1,1,1Gi,1.0,0.7,1.0,1.0,0.24047112464904785,1.1205673217773438e-05,0.2583444118499756,1.1920928955078125e-06,latency_loss,0.587,0.587,0.49882457256317136,2
1,1,1Gi,1.0,0.7,1.0,1.0,0.23893022537231445,1.52587890625e-05,0.2587144374847412,9.5367431640625e-07,latency_loss,0.574,0.574,0.49765629768371583,3
1,1,1Gi,1.0,0.7,1.0,1.0,0.3034350872039795,1.5020370483398438e-05,0.2572946548461914,1.6689300537109375e-06,latency_loss,0.629,0.629,0.560741925239563,4
1,1,1Gi,1.0,0.7,1.0,0.7,0.24069619178771973,1.1444091796875e-05,0.26111459732055664,2.86102294921875e-06,latency_loss,0.584,0.584,0.5018208026885986,0
1,1,1Gi,1.0,0.7,1.0,0.7,0.23806452751159668,1.5735626220703125e-05,0.26566219329833984,2.6226043701171875e-06,latency_loss,0.578,0.578,0.5037395715713502,1
1,1,1Gi,1.0,0.7,1.0,0.7,0.2403576374053955,1.0967254638671875e-05,0.26378488540649414,3.0994415283203125e-06,latency_loss,0.601,0.601,0.5041523694992066,2
