cluster_config,cluster_config,cluster_config,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_times,function_times,function_times,function_times,function_times,function_times,config_point_result,config_point_result,config_point_result,config_point_result,config_point_result
num_workers,cpu_per_worker,memory_per_worker,extractImgMetadata,transformMetadata,handler,thumbnail,returnMetadata,createThumbnail,extractImgMetadata,transformMetadata,handler,thumbnail,returnMetadata,createThumbnail,loss_used,loss_value,execution_time,cost_to_run,attempt_n
1,1,1Gi,1.0,1.0,1.0,1.0,0.1,0.1,0.21393609046936035,9.059906005859375e-06,9.5367431640625e-07,0.26884984970092773,3.0994415283203125e-06,0.58077073097229,latency_loss,0.656,0.656,0.5408733367919922,3
1,1,1Gi,1.0,1.0,1.0,1.0,0.1,0.1,0.21728754043579102,6.67572021484375e-06,7.152557373046875e-07,0.2674548625946045,2.384185791015625e-06,0.594489336013794,latency_loss,0.678,0.678,0.5441989660263061,4
1,1,1Gi,1.0,1.0,1.0,0.1,1.0,1.0,0.2659585475921631,8.821487426757812e-06,9.5367431640625e-07,0.6021060943603516,1.9073486328125e-06,0.9398386478424072,latency_loss,0.961,0.961,1.2660194873809814,0
1,1,1Gi,1.0,1.0,1.0,0.1,1.0,1.0,0.2073512077331543,7.3909759521484375e-06,4.76837158203125e-07,0.47916316986083984,9.5367431640625e-07,0.7468464374542236,latency_loss,0.771,0.771,1.0021227836608886,1
1,1,1Gi,1.0,1.0,1.0,0.1,1.0,1.0,0.2310504913330078,1.33514404296875e-05,7.152557373046875e-07,0.5330791473388672,7.152557373046875e-07,0.822819709777832,latency_loss,0.894,0.894,1.1071928977966308,2
1,1,1Gi,1.0,1.0,1.0,0.1,1.0,1.0,0.20194315910339355,8.106231689453125e-06,7.152557373046875e-07,0.5177397727966309,7.152557373046875e-07,0.7741818428039551,latency_loss,0.845,0.845,1.0279085159301757,3
1,1,1Gi,1.0,1.0,1.0,0.1,1.0,1.0,0.25235605239868164,5.7220458984375e-06,7.152557373046875e-07,0.5280857086181641,9.5367431640625e-07,0.8396291732788086,latency_loss,0.873,0.873,1.1448011875152588,4
1,1,1Gi,1.0,1.0,1.0,0.1,1.0,0.1,0.22401046752929688,7.867813110351562e-06,9.5367431640625e-07,0.7236497402191162,1.1920928955078125e-06,1.036756992340088,latency_loss,1.077,1.077,0.4000611543655396,0
1,1,1Gi,1.0,1.0,1.0,0.1,1.0,0.1,0.25478434562683105,1.7881393432617188e-05,4.76837158203125e-07,0.811774492263794,9.5367431640625e-07,1.1520860195159912,latency_loss,1.179,1.179,0.45118970870971675,1
1,1,1Gi,1.0,1.0,1.0,0.1,1.0,0.1,0.2677021026611328,7.867813110351562e-06,9.5367431640625e-07,0.6952776908874512,9.5367431640625e-07,1.0810418128967285,latency_loss,1.139,1.139,0.445343828201294,2
1,1,1Gi,1.0,1.0,1.0,0.1,1.0,0.1,0.24929571151733398,6.67572021484375e-06,4.76837158203125e-07,0.8511719703674316,9.5367431640625e-07,1.2413721084594727,latency_loss,1.268,1.268,0.45855822563171383,3
1,1,1Gi,1.0,1.0,1.0,0.1,1.0,0.1,0.2396681308746338,9.5367431640625e-06,2.384185791015625e-07,0.8690676689147949,1.1920928955078125e-06,1.1930711269378662,latency_loss,1.277,1.277,0.44589297771453856,4
1,1,1Gi,1.0,1.0,1.0,0.1,0.1,1.0,0.24194049835205078,1.4781951904296875e-05,4.76837158203125e-07,0.5472798347473145,2.6226043701171875e-06,0.8480074405670166,latency_loss,0.91,0.91,1.1446914434432984,0
1,1,1Gi,1.0,1.0,1.0,0.1,0.1,1.0,0.22259926795959473,4.5299530029296875e-06,7.152557373046875e-07,0.5420067310333252,1.9073486328125e-06,0.821237325668335,latency_loss,0.846,0.846,1.0980427026748658,1
1,1,1Gi,1.0,1.0,1.0,0.1,0.1,1.0,0.20197701454162598,7.152557373046875e-06,4.76837158203125e-07,0.5498955249786377,2.384185791015625e-06,0.8111505508422852,latency_loss,0.864,0.864,1.0681249856948853,2
1,1,1Gi,1.0,1.0,1.0,0.1,0.1,1.0,0.24967622756958008,1.430511474609375e-05,7.152557373046875e-07,0.536074161529541,3.0994415283203125e-06,0.846015214920044,latency_loss,0.872,0.872,1.1493141889572143,3
1,1,1Gi,1.0,1.0,1.0,0.1,0.1,1.0,0.21116018295288086,6.67572021484375e-06,4.76837158203125e-07,0.5774145126342773,1.9073486328125e-06,0.8502359390258789,latency_loss,0.919,0.919,1.1191449165344238,4
1,1,1Gi,1.0,1.0,1.0,0.1,0.1,0.1,0.23709630966186523,1.1205673217773438e-05,4.76837158203125e-07,0.5933854579925537,2.86102294921875e-06,0.9590179920196533,latency_loss,0.985,0.985,0.3923486232757568,0
1,1,1Gi,1.0,1.0,1.0,0.1,0.1,0.1,0.23674893379211426,6.9141387939453125e-06,7.152557373046875e-07,0.7389581203460693,2.1457672119140625e-06,1.0508790016174316,latency_loss,1.077,1.077,0.4157404899597168,1
1,1,1Gi,1.0,1.0,1.0,0.1,0.1,0.1,0.24859237670898438,7.152557373046875e-06,4.76837158203125e-07,0.806441068649292,2.86102294921875e-06,1.179511547088623,latency_loss,1.209,1.209,0.447195553779602,2
1,1,1Gi,1.0,1.0,1.0,0.1,0.1,0.1,0.22814583778381348,1.0013580322265625e-05,4.76837158203125e-07,0.8817605972290039,3.814697265625e-06,1.2406938076019287,latency_loss,1.268,1.268,0.44040215015411377,3
1,1,1Gi,1.0,1.0,1.0,0.1,0.1,0.1,0.254441499710083,5.7220458984375e-06,4.76837158203125e-07,0.8033976554870605,1.6689300537109375e-06,1.1484806537628174,latency_loss,1.177,1.177,0.44963569641113277,4
1,1,1Gi,1.0,1.0,0.1,1.0,1.0,1.0,0.25328969955444336,6.67572021484375e-06,1.430511474609375e-06,0.23640179634094238,1.1920928955078125e-06,0.5587291717529297,latency_loss,0.59,0.59,1.0484286785125732,0
1,1,1Gi,1.0,1.0,0.1,1.0,1.0,1.0,0.20564627647399902,6.4373016357421875e-06,1.430511474609375e-06,0.2747013568878174,1.1920928955078125e-06,0.5405008792877197,latency_loss,0.569,0.569,1.0208562850952148,1
1,1,1Gi,1.0,1.0,0.1,1.0,1.0,1.0,0.26061487197875977,6.4373016357421875e-06,7.152557373046875e-07,0.22567391395568848,1.1920928955078125e-06,0.5491929054260254,latency_loss,0.578,0.578,1.0354893922805786,2
1,1,1Gi,1.0,1.0,0.1,1.0,1.0,1.0,0.23203420639038086,7.62939453125e-06,7.152557373046875e-07,0.25380992889404297,9.5367431640625e-07,0.5409805774688721,latency_loss,0.565,0.565,1.0268333673477172,3
1,1,1Gi,1.0,1.0,0.1,1.0,1.0,1.0,0.2090294361114502,1.0251998901367188e-05,1.430511474609375e-06,0.24420857429504395,9.5367431640625e-07,0.5089097023010254,latency_loss,0.593,0.593,0.9621590614318848,4
1,1,1Gi,1.0,1.0,0.1,1.0,1.0,0.1,0.26644277572631836,6.198883056640625e-06,1.6689300537109375e-06,0.28907275199890137,9.5367431640625e-07,0.6535930633544922,latency_loss,0.683,0.683,0.6208821535110474,0
1,1,1Gi,1.0,1.0,0.1,1.0,1.0,0.1,0.23036503791809082,8.58306884765625e-06,1.9073486328125e-06,0.30050230026245117,9.5367431640625e-07,0.5871603488922119,latency_loss,0.64,0.64,0.5895931005477905,1
1,1,1Gi,1.0,1.0,0.1,1.0,1.0,0.1,0.21738147735595703,6.4373016357421875e-06,7.152557373046875e-07,0.24988985061645508,9.5367431640625e-07,0.6033632755279541,latency_loss,0.678,0.678,0.5276151180267334,2
1,1,1Gi,1.0,1.0,0.1,1.0,1.0,0.1,0.2655761241912842,6.67572021484375e-06,9.5367431640625e-07,0.2589137554168701,7.152557373046875e-07,0.6120321750640869,latency_loss,0.657,0.657,0.5857005834579467,3
1,1,1Gi,1.0,1.0,0.1,1.0,1.0,0.1,0.23793745040893555,1.8835067749023438e-05,1.430511474609375e-06,0.3093552589416504,1.1920928955078125e-06,0.6135909557342529,latency_loss,0.668,0.668,0.6086719751358033,4
1,1,1Gi,1.0,1.0,0.1,1.0,0.1,1.0,0.26096081733703613,5.4836273193359375e-06,1.6689300537109375e-06,0.22401905059814453,3.337860107421875e-06,0.539567232131958,latency_loss,0.568,0.568,1.024553084373474,0
1,1,1Gi,1.0,1.0,0.1,1.0,0.1,1.0,0.2784085273742676,2.6941299438476562e-05,9.5367431640625e-07,0.2524545192718506,4.5299530029296875e-06,0.5885148048400879,latency_loss,0.667,0.667,1.1194053411483764,1
1,1,1Gi,1.0,1.0,0.1,1.0,0.1,1.0,0.20361018180847168,7.62939453125e-06,1.1920928955078125e-06,0.23643207550048828,5.0067901611328125e-06,0.5073981285095215,latency_loss,0.539,0.539,0.9474486351013184,2
1,1,1Gi,1.0,1.0,0.1,1.0,0.1,1.0,0.23236632347106934,7.152557373046875e-06,1.6689300537109375e-06,0.23996448516845703,2.6226043701171875e-06,0.527369499206543,latency_loss,0.56,0.56,0.9997078895568847,3
1,1,1Gi,1.0,1.0,0.1,1.0,0.1,1.0,0.2093193531036377,1.239776611328125e-05,1.430511474609375e-06,0.23402142524719238,2.384185791015625e-06,0.506533145904541,latency_loss,0.573,0.573,0.949886703491211,4
1,1,1Gi,1.0,1.0,0.1,1.0,0.1,0.1,0.2576470375061035,7.152557373046875e-06,1.1920928955078125e-06,0.28696656227111816,2.384185791015625e-06,0.6138854026794434,latency_loss,0.64,0.64,0.6060096502304078,0
1,1,1Gi,1.0,1.0,0.1,1.0,0.1,0.1,0.2520914077758789,1.239776611328125e-05,1.6689300537109375e-06,0.2670159339904785,3.814697265625e-06,0.6124279499053955,latency_loss,0.64,0.64,0.5803630828857422,1
1,1,1Gi,1.0,1.0,0.1,1.0,0.1,0.1,0.24154901504516602,7.867813110351562e-06,9.5367431640625e-07,0.3082253932952881,3.337860107421875e-06,0.6388187408447266,latency_loss,0.665,0.665,0.6136645793914794,2
1,1,1Gi,1.0,1.0,0.1,1.0,0.1,0.1,0.23000216484069824,6.9141387939453125e-06,1.9073486328125e-06,0.28163933753967285,4.291534423828125e-06,0.5771036148071289,latency_loss,0.603,0.603,0.5693593978881835,3
1,1,1Gi,1.0,1.0,0.1,1.0,0.1,0.1,0.28431010246276855,7.3909759521484375e-06,1.9073486328125e-06,0.3286292552947998,4.5299530029296875e-06,0.6997771263122559,latency_loss,0.743,0.743,0.6829251050949096,4
1,1,1Gi,1.0,1.0,0.1,0.1,1.0,1.0,0.23605012893676758,5.9604644775390625e-06,1.1920928955078125e-06,0.4860341548919678,1.430511474609375e-06,0.7914483547210693,latency_loss,0.819,0.819,1.0761094093322754,0
1,1,1Gi,1.0,1.0,0.1,0.1,1.0,1.0,0.21770405769348145,5.4836273193359375e-06,1.430511474609375e-06,0.5696005821228027,2.86102294921875e-06,0.874401330947876,latency_loss,0.908,0.908,1.1490739345550538,1
