cluster_config,cluster_config,cluster_config,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_times,function_times,function_times,function_times,config_point_result,config_point_result,config_point_result,config_point_result,config_point_result
num_workers,cpu_per_worker,memory_per_worker,extractImgMetadata,transformMetadata,thumbnail,returnMetadata,extractImgMetadata,transformMetadata,thumbnail,returnMetadata,loss_used,loss_value,execution_time,cost_to_run,attempt_n
1,1,1Gi,1.0,1.0,1.0,1.0,0.26608777046203613,1.0728836059570312e-05,0.25844669342041016,1.1920928955078125e-06,latency_loss,0.608,0.608,0.5245463848114014,0
1,1,1Gi,1.0,1.0,1.0,1.0,0.2365267276763916,5.9604644775390625e-06,0.28453779220581055,1.1920928955078125e-06,latency_loss,0.601,0.601,0.5210716724395752,1
1,1,1Gi,1.0,1.0,1.0,1.0,0.30747008323669434,2.9087066650390625e-05,0.276566743850708,2.1457672119140625e-06,latency_loss,0.718,0.718,0.5840680599212646,2
1,1,1Gi,1.0,1.0,1.0,1.0,0.22193598747253418,1.1444091796875e-05,0.23675775527954102,7.152557373046875e-07,latency_loss,0.546,0.546,0.4587059020996094,3
1,1,1Gi,1.0,1.0,1.0,1.0,0.2143557071685791,8.106231689453125e-06,0.24591946601867676,2.6226043701171875e-06,latency_loss,0.585,0.585,0.46028590202331543,4
1,1,1Gi,0.7,0.4,0.1,0.1,0.27491235733032227,2.2172927856445312e-05,0.4474043846130371,4.291534423828125e-06,latency_loss,0.817,0.817,0.23718838691711425,0
1,1,1Gi,0.7,0.4,0.1,0.1,0.2473008632659912,1.52587890625e-05,0.5199031829833984,2.1457672119140625e-06,latency_loss,0.852,0.852,0.2251072406768799,1
1,1,1Gi,0.7,0.4,0.1,0.1,0.21651625633239746,1.811981201171875e-05,0.5295531749725342,3.337860107421875e-06,latency_loss,0.834,0.834,0.2045242786407471,2
1,1,1Gi,0.7,0.4,0.1,0.1,0.24588418006896973,1.8596649169921875e-05,0.4697225093841553,2.6226043701171875e-06,latency_loss,0.797,0.797,0.2190988779067993,3
1,1,1Gi,0.7,0.4,0.1,0.1,0.24306559562683105,1.71661376953125e-05,0.508148193359375,3.0994415283203125e-06,latency_loss,0.833,0.833,0.22096791267395022,4
1,1,1Gi,0.4,0.1,0.7,0.7,0.24936175346374512,1.4066696166992188e-05,0.2893710136413574,3.0994415283203125e-06,latency_loss,0.672,0.672,0.3023079872131348,0
1,1,1Gi,0.4,0.1,0.7,0.7,0.22890877723693848,1.1444091796875e-05,0.2869882583618164,1.6689300537109375e-06,latency_loss,0.637,0.637,0.2924576044082641,1
1,1,1Gi,0.4,0.1,0.7,0.7,0.26328611373901367,1.430511474609375e-05,0.3099954128265381,3.5762786865234375e-06,latency_loss,0.65,0.65,0.3223151683807373,2
