cluster_config,cluster_config,cluster_config,function_resource_map,function_resource_map,function_times,function_times,config_point_result,config_point_result,config_point_result,config_point_result,config_point_result
num_workers,cpu_per_worker,memory_per_worker,testFunc,parent,testFunc,parent,loss_used,loss_value,execution_time,cost_to_run,attempt_n
1,1,1Gi,1.0,1.0,4.76837158203125e-07,0.015525102615356445,latency_loss,0.035,0.035,0.035,0
1,1,1Gi,1.0,1.0,1.9073486328125e-06,0.014591217041015625,latency_loss,0.035,0.035,0.035,1
1,1,1Gi,1.0,1.0,4.76837158203125e-07,0.015447854995727539,latency_loss,0.034,0.034,0.034,2
1,1,1Gi,0.1,1.0,1.430511474609375e-06,0.014270305633544922,latency_loss,0.034,0.034,0.034,0
1,1,1Gi,0.1,1.0,2.6226043701171875e-06,0.017504215240478516,latency_loss,0.035,0.035,0.035,1
1,1,1Gi,0.1,1.0,1.6689300537109375e-06,0.014809846878051758,latency_loss,0.051,0.051,0.051,2
1,1,1Gi,1.0,0.1,1.430511474609375e-06,0.02418375015258789,latency_loss,0.043,0.043,0.043,0
1,1,1Gi,1.0,0.1,9.5367431640625e-07,0.024096250534057617,latency_loss,0.047,0.047,0.047,1
1,1,1Gi,1.0,0.1,7.152557373046875e-07,0.024179458618164062,latency_loss,0.047,0.047,0.047,2
